Latitude,Longitude,Address,Name,Website,Time Added,Eco & Sustainability Terms,Ethical & Slave-Free Terms,Relational & Direct Terms,Matching Sentences
37.781126,-122.4145,"142 McAllister St, San Francisco, CA 94102",Paris Cafe,https://pariscafesf.com/,21:28:52,,,,No match found on page.
37.774262,-122.412486,"248 9th St, San Francisco, CA 94103",Heyma Yemeni Coffee & Brunch,https://www.heymacoffeeca.com/,21:28:54,,,,No match found on page.
37.78806,-122.423317,"1452 Franklin St, San Francisco, CA 94109",Haraz Coffee House,https://harazcoffeehouse.com/,21:28:55,,,,No match found on page.
37.789327,-122.420204,"1330 Polk St, San Francisco, CA 94109",Le Mil's Coffee,https://lemils.com/,21:28:56,sustainably sourced,,single origin,"Accept 
 Decline 
 
 
 
 
 
 
 
 
 
 
 
 Zoom picture 
 
 Go to item 1 
 
 Go to item 2 
 
 Go to it"
37.784909,-122.412954,"406 Ellis St, San Francisco, CA 94102",Cafecito,https://www.facebook.com/pages/Un-Cafecito/761074627248013,21:28:58,,,,No match found on page.
37.773142,-122.41323,"San Francisco, CA 94103",Kiosque de Mr 2Pac,,21:28:59,,,,No match found on page.
37.780975,-122.400247,"370 4th St, San Francisco, CA 94107",Delah Coffee,https://delahcoffee.com/order-online/,21:29:01,,,,No match found on page.
37.773155,-122.41777,"1551 Mission St, San Francisco, CA 94103",Doppio Coffee & Brunch,https://doppiosf.com/,21:29:02,,ethically sourced,,We use Lavazza beans which are ethically sourced from top growers around the world and roasted to pe
37.794085,-122.396719,"27 Drumm St, San Francisco, CA 94111",Sana’a cafe,http://thesanaacafe.com/,21:29:04,,,,No match found on page.
37.779543,-122.413391,"1145 Market St, San Francisco, CA 94103",La Cuisine Cafe,https://lacuisinecafesf.com/,21:29:05,,,,No match found on page.
37.78963,-122.404081,"211 Sutter St, San Francisco, CA 94108",Origin Lab Coffee & Matcha,https://originlabcoffee.com/,21:29:07,organic,,single-origin,"We serve carefully sourced specialty coffee, rotating single-origin espresso, and our signature Matc"
